description,issue_type,key,labels,summary
"While looking for ways to influence report generation (to manipulate the types being reported by resources in MODULES-5970), a problematic line was discovered inside the metric calculation at [https://github.com/puppetlabs/puppet/blob/5c092467789093d87228c1f471a469d314e3ae4f/lib/puppet/transaction/report.rb#L462:]

 
{code:java} type = Puppet::Resource.new(name).type{code}
 

A new resource is being created solely to resolve its type name, which is already available inside the status object.

That code originated in Feb 27, 2010 from lak at [https://github.com/puppetlabs/puppet/commit/9919b14f262c994a58eb202cda408f1b90d728e0]

 

At that point in time, resource_type was not part of the status object - [https://github.com/puppetlabs/puppet/blob/9919b14f262c994a58eb202cda408f1b90d728e0/lib/puppet/resource/status.rb]

resource_type was later added in [https://github.com/puppetlabs/puppet/commit/1f72c31f9e0223e71e2729da96e0e98ebea5417e] for Puppet 1.5.2 in Dec 30, 2010, at which point the code above could have been refactored, but never was

 

The fix here should be a simple replacement of the call to generate a new resource with use of the already reported type.",Improvement,PUP-8746,[],Improve time_metrics in report generation to use existing statuses
"h1.  The Problem

Passing a type alias to the match function results in an error.  

Example Code: 

https://github.com/npwalker/regex_variable/blob/test_pattern_type_alias/manifests/profile/test.pp#L14

And example error:

{code}
error during compilation: Evaluation Error: Error while evaluating a Method call, match() expects pattern of T, where T is String, Regexp, Regexp[r], Pattern[p], or Array[T]. Got Puppet::Pops::Types::PTypeAliasType (file: /home/travis/build/npwalker/regex_variable/spec/fixtures/modules/regex_variable/manifests/profile/test.pp, line: 14, column: 21) on node travis-job-npwalker-regex-variable-124411915.travisci.net
{code}

Which can been seen in travis as well: 

https://travis-ci.com/npwalker/regex_variable/jobs/124411915#L532",Bug,PUP-8745,[],The match function does not accept a type alias 
"h1. The Problem

If you use a variable from say your params class in a type of a parameter then whether or not you can parse that class depends on whether you included a class that loaded params before the class you use the variable in.  

Anyway here's an example: 

https://github.com/npwalker/regex_variable/blob/master/manifests/profile/test.pp#L8

h1.  Suggested solution

Either this should work every time or it should never work.  I'd be fine with detection of this behavior and an outright failure.  ",Bug,PUP-8744,[],Using a variable in a Type on a parameter results in an error unless the variable was already loaded
"{{devicedir}} (the root directory of devices) is a combination of /etc and /opt:

{code}
/opt/puppetlabs/puppet/cache/devices/*/

  clientbucket
  client_data
  client_yaml
  facts.d
  lib
  locales
  preview
  ssl
  state

/opt/puppetlabs/puppet/cache/

  clientbucket
  client_data
  client_yaml
  facts.d
  lib
  locals
  preview
  state

/etc/puppetlabs/puppet/

  ssl
{code}

When the proxy Puppet agent for a device is the master, and the user executes a backup and restore (manually, or as automated in OpsWorks), the certificate and keys in the {{ssldir}} in each {{devicedir}} are lost, requiring certificate regeneration for those devices.

We should either:

* Add these device {{ssldir}} directories to our backup model
* Move these device {{ssldir}} directories to /etc/puppetlabs",Improvement,PUP-8736,"['backup-restore', 'devices']",/opt/puppetlabs contains device ssldir(s) normally in /etc/puppetlabs
"*Puppet Version:* 5.5.1 (Win x64)
*Puppet Server Version:* N/A
*OS Name/Version:* Windows 10 - 1803

*Desired Behavior:*

Given a manifest saved as UTF8

{code}
file { ""c:\\install\\test\\Testing-wordsé"":
  ensure  => file,
  content => 'Testing é',
} ->

file { ""c:\\install\\test\\Testing-words-copyé"":
  ensure => file,
  source => ""c:\\install\\test\\Testing-wordsé"",
} ->

file { ""c:\\install\\test2"":
  ensure  => directory,
  source  => ""c:\\install\\test"",
    recurse => remote,
    replace => true,
}
{code}

It should create the files in the C:\install\test directory
It should copy the C:\install\test directory to C:\install\test2


*Actual Behavior:*

Puppet apply errors with;

{{Could not set 'file' on ensure: invalid byte sequence in UTF-8}}


Full trace dump in comments",Bug,PUP-8735,"['i18n', 'utf-8', 'windows']",File resource doesn't seem to parse UTF8 filenames when recursively copying directoies
"*NOTE*: If you have found your way to this issue based on troubleshooting an issue with the file_concat module, please see SERVER-40 for an easy workaround.

This issue was uncovered by SERVER-40.

There is a difference in how Kernel.load() and require interact when referencing the same Ruby file -- at least the file type -- under an MRI puppet master vs. Puppet Server, both running 3.7.1 core Ruby Puppet code and 1.9-based Ruby.

During settings initialization, both masters will perform a:

{code}
Kernel.load("".../lib/puppet/type/file.rb"", nil)
{code}

This causes the Puppet::Type::File type to be defined, as well as several related types, e.g., Puppet::Type::File::Owner, by virtue of ""file.rb"" doing _require 'puppet/type/file/*'_ calls.

Assuming a custom module which includes a _require 'puppet/type/file'_ call in some Ruby code is in place, the behavior when that line is exercised under MRI Ruby Puppet vs. Puppet Server during a catalog request differs.

Under the MRI Ruby Puppet master, the file require call does not result in the ""file.rb"" file being re-executed.

Under Puppet Server, however, the file require call does result in the ""file.rb"" file being re-executed.  The Puppet::Type::File type is subsequently redefined, causing the subordinate types like Puppet::Type::File::Owner to no longer be defined.  The ""file.rb"" file executes the _require 'puppet/type/file/..._ calls again but because JRuby's loader interprets the associated files as already having been executed, the files are not executed again and the Puppet::Type::File::* types are not redefined.  Any subsequent attempts to reference these subordinate types in code would, therefore, result in an error.

I suspect this may be showing a difference between how the caching behind Kernel.load() and Kernel.require() is linked under MRI Ruby vs. JRuby 1.9.  This will probably involve further research into the loaders for those respective runtimes.

To demonstrate this problem, I created the following custom function and placed it under ""<confdir>/<modules>/<modname>/lib/puppet/parser/functions/owner_defed_after_require.rb"" on the server:

{code}
require 'puppet/type/file'

module Puppet::Parser::Functions
  newfunction(:owner_defed_after_require, :type => :rvalue) do |args|
    Puppet.info ""owner_defed_after_require: enter""

    klass_defined = false
    if Object.const_defined?(""Puppet"")
      klass = Object.const_get(""Puppet"")
      if (klass.const_defined?(""Type""))
        klass = klass.const_get(""Type"")
        if (klass.const_defined?(""File""))
          klass_defined = klass.const_get(""File"").const_defined?(""Owner"")
        end
      end
    end

    Puppet.info ""owner_defed_after_require: exit (#{klass_defined})""
    klass_defined
  end
end
{code}

On the same server, I stored the following at ""<confdir>/manifests/site.pp"":

{code}
notify { 'owner_defed_after_require':
  message  => owner_defed_after_require()
}
{code}

When I performed a catalog request to the master, I saw ""true"" for the owner_defed_after_require message in the response for the MRI Ruby master vs. ""false"" for the same message in the response for the Puppet Server master.


",Bug,PUP-8733,[],File type redefined when required in code
"Currently Puppet Device pluginsync processes all items.  We should see if this can be limited to items that relate to Puppet Device.

This would benefit uses in pluginsync time and duplication of files, as a cache is maintained for  *each* node Puppet Device manages.",Improvement,PUP-8732,[],Investigate if Puppet Device pluginsync can be limited to remote modules
,Sub-task,PUP-8731,[],"Update specification of ""parameter scope"" to cover when types are asserted"
"*Puppet Version: 5.5.1*
 *OS Name/Version: Amazon Linux*

*Desired Behavior:*

{{report_instanceid and fastestmirror_enabled parameters can be set as parameters to a Yumrepo definition.}}

*Actual Behavior:*

*{{Error: no parameter named 'fastestmirror_enabled'}}*

*{{Error: no parameter named 'report_instanceid'}}*

 

*CAVEAT:*

report_instanceid is valid and very immediately desirable; however fastestmirror_enabled is defined in Amazon Linux, and supported by Chef already, but I am not convinced it does anything. I haven't yet found any applicable yum or fastestmirror plugin source code that consumes this parameter.

 ",New Feature,PUP-8730,[],Yumrepo Parameters: report_instanceid and fastestmirror_enabled
"Running a simple command line manifest does not interpret UTF8 characters correctly e.g.

From source...
{code}
C:\source\puppet [master ≡]> bundle exec puppet apply -e ""notify { 'ᚠᛇᚻ': }""
DL is deprecated, please use Fiddle
Notice: Compiled catalog for win-edson23cglf.localdomain in environment production in 0.08 seconds
Notice: ???
Notice: /Stage[main]/Main/Notify[???]/message: defined 'message' as '???'
Notice: Applied catalog in 0.06 seconds
{code}

Pup 4.4.1 installation
{code}
C:\>puppet --version
4.4.1

C:\>puppet apply -e ""notify { 'ᚠᛇᚻ': }""
Notice: Compiled catalog for win-edson23cglf.localdomain in environment production in 0.08 seconds
Notice: ???
Notice: /Stage[main]/Main/Notify[???]/message: defined 'message' as '???'
Notice: Applied catalog in 0.05 seconds
{code}",Bug,PUP-8729,"['i18n', 'utf-8']",Puppet does not accept UTF8 on the command line
